"","n_tree","train_OOB","test_OOB","train_LOSS","test_LOSS","AUC"
"r",21,0.2436,0.12418676652093,0.612451694969289,0.547421993332307,0.654978728457403
"r",41,0.2434,0.124699286655649,0.531365299826117,0.517632364593297,0.676758783042022
"r",61,0.2429,0.126320523816497,0.521361452829651,0.508071171411591,0.678833816103794
"r",81,0.2389,0.126174089492291,0.516407360670167,0.50560717333411,0.687394797015572
"r",101,0.2355,0.126498336924461,0.515547146872217,0.504499610128948,0.69227709451582
"r",401,0.2396,0.127261887329247,0.512200748522334,0.501798580084933,0.700974243068354
"r",801,0.2383,0.127366483275108,0.511160436809553,0.501778499390181,0.704329305881003
